author,comment,likes,published_at,reply_count
@mohdwarimdisa3807,tips mintak sedekah: JANGAN GARU TANGAN TAKUT DIA INGAT KITA KETAGIH,35,2020-05-26 08:20,1
@jevaanraj17,Memang terbaik abg isa dan crew....Memang ada yg memerlukan...,34,2020-05-25 10:21,0
@izzproductions,"“ U tipu lah you pun nampak ensem !!! “ 😂😂😂 isa x dpt sebab ensem sgt kot hahaha , terbaikk video kalini.. jgn lupa singgah channelku ad parody lawak2✌🏻❤️💯 Road to 100k Subs . 🔥🔔",32,2020-05-25 12:11,4
@waniemakeover312,Channel Isa Isarb dan Ustaz Ebit Lew paling saya tunggu2 mahu tengok.,32,2020-05-27 15:12,0
@acappiupiu2272,Selamat hari raya isa isarb dan isarb yg lain,30,2020-05-25 10:21,0
@meshmotorsport8118,15:10 the guy just wowwww... awhww,30,2020-05-25 16:19,0
@jesurajraj,"Bro hati2 bro takut Any Authority people Might catch you bro.. I seriously respect and concern about you bro.. You are doing great Job Tapi takut social Experiment sekarang Akan terlanjur to negative impact brother...
I love all of your video bro haha semakin obese with your videos Bro.. Love your content 😉😉❤️❤️",30,2020-05-25 13:51,1
@ENIMAXMENMIX,"Tahniah org Sarawak krn tulus hati ""bersedekah"", rm20 kat teammate Isa Isarb. Salute........",29,2020-06-07 15:29,0
@smayaav3362,May we have more humans like them..,29,2020-05-27 11:09,0
@hellojessy2314,The best video ever !!!,28,2020-05-25 10:12,0
@awsuspect,Terbaik org sarawak membantu 👍👍👍 ya ku madah tok bok nya.,28,2020-07-03 16:46,0
@reenchinky,I just wanna say that I hope this video will become trending really hope because the content is so good. Good luck brother 👍🏻,27,2020-05-30 21:19,0
@AdibAieman,"Sumpah sebak part Isa cakap,kita kena bersyukur sebab duduk di Malaysia.Fuhh sangat bermakna😌❤️💪🏼👍🏼🔥",26,2020-05-25 10:21,0
@Thesam-89,Kau mmg bagus ... amal kan sedekah allah akan bayar x10 ganda ..  allah bagi rezeki 😄,26,2020-05-25 10:20,0
@abgkyta,"Orang Sarawak ctok der...
Nang steady ko der...
Subscribe,like & share dah...
😎👍👍👍",26,2020-05-25 11:32,0
@yan-zg9we,"wait a minute 
ni baru ke abg record
kan korona mane bole sentuh sentuh 1:34",26,2020-05-28 09:36,2
@krygoo1602,1:51:Isa Isarb:Dah x byr guna duit seringgit dah..da bertaubat😂😂,26,2020-05-25 11:52,0
@vatovesparados,"Respek aku dgn brader sarawak dgn brader mycar tu,  meremang bangga aku rasa.  Mudah2an dimurahkan segala rezeki",25,2020-06-04 16:22,0
@mikey5944,"You should do part 2,part 3,part 4...so on......love this",25,2020-05-26 06:14,0
@izz4d173,"Isa Isarb : ""Yaw Wazza-Wazzap Its Your Boy Isa Isarb""
MK K-Clique : ""Yow Wazzup Its Your Boii MK K-Clique""",25,2020-05-25 10:57,11
@ZaiNudin-zx8yd,Ask. Isa isard smoga allah lmpah kan rzki lgi krana kebaikan kmu itu walau pon sya nk kta sya ni baik sngat tk jgak nk kta jhat tu jagak apa pon mmang terbaik video ni🤨🤨,24,2020-05-25 10:22,0
@ellaselamberella1994,Baik nya kau isa dengan kawan2 kau..  Semoga Allah permudahkan utk kau..  Terbaik la broo...  Lps ni kau bantu la org2 ssh kt keluar sne..  Insyaallah rezeki kau makin bertambah..,24,2020-05-27 01:10,2
@ariffudin9479,Rasa nk menagis pon ade 👍🏻❤️❤️,24,2020-05-25 17:37,0
@gimeen,I paling impress dgn abg Mycar & Abg dpd Sarawak 😍,23,2020-06-21 17:57,0
@DneshRezo,That Naviend guy don’t know how to properly talk to people and explain what he’s doing. But anyways good job Isa guys. Great job,23,2020-05-25 12:14,0
@ShahrulAzwanS,"Abg: ""Saya asal sarawak""

Semua org Sarawak termasuk aku: WOOOOWOWOOOO YEAHHH!!! 

😂",23,2020-06-27 05:52,2
